EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station PECHORA, RUSSIAN FEDERATION (STAID: 94)
Blended and updated with sources:365 923418 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
    94,   365,19430101,-9999,    9
    94,   365,19430102,-9999,    9
    94,   365,19430103,-9999,    9
    94,   365,19430104,-9999,    9
    94,   365,19430105,-9999,    9
    94,   365,19430106,-9999,    9
    94,   365,19430107,-9999,    9
    94,   365,19430108,-9999,    9
    94,   365,19430109,-9999,    9
    94,   365,19430110,-9999,    9
    94,   365,19430111,-9999,    9
    94,   365,19430112,-9999,    9
    94,   365,19430113,-9999,    9
    94,   365,19430114,-9999,    9
    94,   365,19430115,-9999,    9
    94,   365,19430116,-9999,    9
    94,   365,19430117,-9999,    9
    94,   365,19430118,-9999,    9
    94,   365,19430119,-9999,    9
    94,   365,19430120,-9999,    9
    94,   365,19430121,-9999,    9
    94,   365,19430122,-9999,    9
    94,   365,19430123,-9999,    9
    94,   365,19430124,-9999,    9
    94,   365,19430125,-9999,    9
    94,   365,19430126,-9999,    9
    94,   365,19430127,-9999,    9
    94,   365,19430128,-9999,    9
    94,   365,19430129,-9999,    9
    94,   365,19430130,-9999,    9
    94,   365,19430131,-9999,    9
    94,   365,19430201,-9999,    9
    94,   365,19430202,-9999,    9
    94,   365,19430203,-9999,    9
    94,   365,19430204,-9999,    9
    94,   365,19430205,-9999,    9
    94,   365,19430206,-9999,    9
    94,   365,19430207,-9999,    9
    94,   365,19430208,-9999,    9
    94,   365,19430209,-9999,    9
    94,   365,19430210,-9999,    9
    94,   365,19430211,-9999,    9
    94,   365,19430212,-9999,    9
    94,   365,19430213,-9999,    9
    94,   365,19430214,-9999,    9
    94,   365,19430215,-9999,    9
    94,   365,19430216,-9999,    9
    94,   365,19430217,-9999,    9
    94,   365,19430218,-9999,    9
    94,   365,19430219,-9999,    9
    94,   365,19430220,-9999,    9
    94,   365,19430221,-9999,    9
    94,   365,19430222,-9999,    9
    94,   365,19430223,-9999,    9
    94,   365,19430224,-9999,    9
    94,   365,19430225,-9999,    9
    94,   365,19430226,-9999,    9
    94,   365,19430227,-9999,    9
    94,   365,19430228,-9999,    9
    94,   365,19430301,-9999,    9
    94,   365,19430302,-9999,    9
    94,   365,19430303,-9999,    9
    94,   365,19430304,-9999,    9
    94,   365,19430305,-9999,    9
    94,   365,19430306,-9999,    9
    94,   365,19430307,-9999,    9
    94,   365,19430308,-9999,    9
    94,   365,19430309,-9999,    9
    94,   365,19430310,-9999,    9
    94,   365,19430311,-9999,    9
    94,   365,19430312,-9999,    9
    94,   365,19430313,-9999,    9
    94,   365,19430314,-9999,    9
    94,   365,19430315,-9999,    9
    94,   365,19430316,-9999,    9
    94,   365,19430317,-9999,    9
    94,   365,19430318,-9999,    9
    94,   365,19430319,-9999,    9
    94,   365,19430320,-9999,    9
    94,   365,19430321,-9999,    9
    94,   365,19430322,-9999,    9
    94,   365,19430323,-9999,    9
    94,   365,19430324,-9999,    9
    94,   365,19430325,-9999,    9
    94,   365,19430326,-9999,    9
    94,   365,19430327,-9999,    9
    94,   365,19430328,-9999,    9
    94,   365,19430329,-9999,    9
    94,   365,19430330,-9999,    9
    94,   365,19430331,-9999,    9
    94,   365,19430401,-9999,    9
    94,   365,19430402,-9999,    9
    94,   365,19430403,-9999,    9
    94,   365,19430404,-9999,    9
    94,   365,19430405,-9999,    9
    94,   365,19430406,-9999,    9
    94,   365,19430407,-9999,    9
    94,   365,19430408,-9999,    9
    94,   365,19430409,-9999,    9
    94,   365,19430410,-9999,    9
    94,   365,19430411,-9999,    9
    94,   365,19430412,-9999,    9
    94,   365,19430413,-9999,    9
    94,   365,19430414,-9999,    9
    94,   365,19430415,-9999,    9
    94,   365,19430416,-9999,    9
    94,   365,19430417,-9999,    9
    94,   365,19430418,-9999,    9
    94,   365,19430419,-9999,    9
    94,   365,19430420,-9999,    9
    94,   365,19430421,-9999,    9
    94,   365,19430422,-9999,    9
    94,   365,19430423,-9999,    9
    94,   365,19430424,-9999,    9
    94,   365,19430425,-9999,    9
    94,   365,19430426,-9999,    9
    94,   365,19430427,-9999,    9
    94,   365,19430428,-9999,    9
    94,   365,19430429,-9999,    9
    94,   365,19430430,-9999,    9
    94,   365,19430501,-9999,    9
    94,   365,19430502,-9999,    9
    94,   365,19430503,-9999,    9
    94,   365,19430504,-9999,    9
