EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station PSKOV, RUSSIAN FEDERATION (STAID: 95)
Blended and updated with sources:369 926258 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
    95,   369,19360101,   12,    0
    95,   369,19360102,    6,    0
    95,   369,19360103,   10,    0
    95,   369,19360104,   16,    0
    95,   369,19360105,   20,    0
    95,   369,19360106,   -9,    0
    95,   369,19360107,  -41,    0
    95,   369,19360108,    0,    0
    95,   369,19360109,    6,    0
    95,   369,19360110,   -2,    0
    95,   369,19360111,    9,    0
    95,   369,19360112,    9,    0
    95,   369,19360113,   -2,    0
    95,   369,19360114,  -26,    0
    95,   369,19360115,  -68,    0
    95,   369,19360116,  -44,    0
    95,   369,19360117,  -74,    0
    95,   369,19360118,  -50,    0
    95,   369,19360119,   -6,    0
    95,   369,19360120,  -36,    0
    95,   369,19360121,  -10,    0
    95,   369,19360122,   11,    0
    95,   369,19360123,    4,    0
    95,   369,19360124,   -4,    0
    95,   369,19360125,  -44,    0
    95,   369,19360126,  -30,    0
    95,   369,19360127,  -28,    0
    95,   369,19360128, -110,    0
    95,   369,19360129, -111,    0
    95,   369,19360130, -164,    0
    95,   369,19360131, -161,    0
    95,   369,19360201,  -90,    0
    95,   369,19360202,  -38,    0
    95,   369,19360203,    5,    0
    95,   369,19360204,   22,    0
    95,   369,19360205,    5,    0
    95,   369,19360206,  -32,    0
    95,   369,19360207,  -90,    0
    95,   369,19360208,  -42,    0
    95,   369,19360209, -105,    0
    95,   369,19360210, -191,    0
    95,   369,19360211, -168,    0
    95,   369,19360212,  -73,    0
    95,   369,19360213,  -99,    0
    95,   369,19360214, -147,    0
    95,   369,19360215, -150,    0
    95,   369,19360216, -190,    0
    95,   369,19360217, -244,    0
    95,   369,19360218, -238,    0
    95,   369,19360219, -208,    0
    95,   369,19360220, -184,    0
    95,   369,19360221, -170,    0
    95,   369,19360222, -194,    0
    95,   369,19360223, -159,    0
    95,   369,19360224, -123,    0
    95,   369,19360225,  -68,    0
    95,   369,19360226,  -64,    0
    95,   369,19360227,  -63,    0
