EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SARATOV, RUSSIAN FEDERATION (STAID: 96)
Blended and updated with sources:373 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
    96,   373,19360101, -108,    0
    96,   373,19360102,  -69,    0
    96,   373,19360103,  -99,    0
    96,   373,19360104, -149,    0
    96,   373,19360105, -142,    0
    96,   373,19360106, -113,    0
    96,   373,19360107, -108,    0
    96,   373,19360108,  -92,    0
    96,   373,19360109, -184,    0
    96,   373,19360110, -178,    0
    96,   373,19360111, -146,    0
    96,   373,19360112,  -54,    0
    96,   373,19360113,  -28,    0
    96,   373,19360114,  -20,    0
    96,   373,19360115,  -37,    0
    96,   373,19360116,  -79,    0
    96,   373,19360117,  -82,    0
    96,   373,19360118, -112,    0
    96,   373,19360119, -113,    0
    96,   373,19360120, -158,    0
    96,   373,19360121, -149,    0
    96,   373,19360122, -124,    0
    96,   373,19360123,  -80,    0
    96,   373,19360124,  -74,    0
    96,   373,19360125,  -80,    0
    96,   373,19360126,  -25,    0
    96,   373,19360127,  -32,    0
    96,   373,19360128,  -75,    0
    96,   373,19360129,  -76,    0
    96,   373,19360130,  -89,    0
    96,   373,19360131, -204,    0
    96,   373,19360201, -180,    0
    96,   373,19360202, -200,    0
    96,   373,19360203, -150,    0
    96,   373,19360204, -134,    0
    96,   373,19360205, -169,    0
    96,   373,19360206, -174,    0
    96,   373,19360207, -144,    0
    96,   373,19360208, -128,    0
    96,   373,19360209, -160,    0
    96,   373,19360210,  -90,    0
    96,   373,19360211, -137,    0
    96,   373,19360212, -223,    0
    96,   373,19360213, -159,    0
    96,   373,19360214, -103,    0
    96,   373,19360215, -122,    0
    96,   373,19360216, -142,    0
    96,   373,19360217, -209,    0
    96,   373,19360218, -244,    0
    96,   373,19360219, -253,    0
    96,   373,19360220, -141,    0
    96,   373,19360221, -116,    0
    96,   373,19360222, -168,    0
    96,   373,19360223, -168,    0
    96,   373,19360224, -184,    0
    96,   373,19360225, -183,    0
    96,   373,19360226, -201,    0
    96,   373,19360227, -208,    0
    96,   373,19360228, -205,    0
    96,   373,19360229,  -96,    0
    96,   373,19360301, -154,    0
    96,   373,19360302, -111,    0
    96,   373,19360303, -143,    0
    96,   373,19360304, -148,    0
    96,   373,19360305, -133,    0
    96,   373,19360306, -145,    0
    96,   373,19360307, -102,    0
    96,   373,19360308,  -42,    0
    96,   373,19360309,  -85,    0
    96,   373,19360310, -112,    0
    96,   373,19360311, -154,    0
    96,   373,19360312, -151,    0
    96,   373,19360313, -124,    0
    96,   373,19360314,  -50,    0
    96,   373,19360315,  -54,    0
    96,   373,19360316, -117,    0
    96,   373,19360317,  -84,    0
    96,   373,19360318,  -14,    0
    96,   373,19360319,  -26,    0
    96,   373,19360320,    9,    0
    96,   373,19360321,  -54,    0
    96,   373,19360322,  -62,    0
    96,   373,19360323,    2,    0
    96,   373,19360324,   -2,    0
    96,   373,19360325,  -82,    0
    96,   373,19360326,  -88,    0
    96,   373,19360327,  -84,    0
    96,   373,19360328,  -82,    0
    96,   373,19360329,  -78,    0
    96,   373,19360330,  -58,    0
    96,   373,19360331,  -29,    0
    96,   373,19360401,  -53,    0
    96,   373,19360402,  -28,    0
    96,   373,19360403,  -56,    0
    96,   373,19360404,  -41,    0
    96,   373,19360405,    6,    0
    96,   373,19360406,    3,    0
    96,   373,19360407,  -29,    0
    96,   373,19360408,  -29,    0
    96,   373,19360409,  -34,    0
    96,   373,19360410,  -10,    0
    96,   373,19360411,   -1,    0
    96,   373,19360412,   16,    0
    96,   373,19360413,    8,    0
    96,   373,19360414,   24,    0
    96,   373,19360415,   26,    0
    96,   373,19360416,   39,    0
    96,   373,19360417,   48,    0
    96,   373,19360418,   59,    0
    96,   373,19360419,   80,    0
    96,   373,19360420,   69,    0
    96,   373,19360421,   90,    0
    96,   373,19360422,   64,    0
    96,   373,19360423,   96,    0
    96,   373,19360424,  100,    0
    96,   373,19360425,  120,    0
    96,   373,19360426,  146,    0
    96,   373,19360427,  124,    0
    96,   373,19360428,  136,    0
