EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SMOLENSK, RUSSIAN FEDERATION (STAID: 97)
Blended and updated with sources:377 926781 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
    97,   377,19440101,  -45,    0
    97,   377,19440102,  -52,    0
    97,   377,19440103,  -15,    0
    97,   377,19440104,   -4,    0
    97,   377,19440105,  -58,    0
    97,   377,19440106,  -84,    0
    97,   377,19440107,  -42,    0
    97,   377,19440108,  -43,    0
    97,   377,19440109,  -77,    0
    97,   377,19440110,  -50,    0
    97,   377,19440111, -144,    0
    97,   377,19440112,  -75,    0
    97,   377,19440113,  -68,    0
    97,   377,19440114,  -69,    0
    97,   377,19440115,  -93,    0
    97,   377,19440116, -125,    0
    97,   377,19440117,  -26,    0
    97,   377,19440118,   -5,    0
    97,   377,19440119,  -10,    0
    97,   377,19440120,   -6,    0
    97,   377,19440121,    6,    0
    97,   377,19440122,    8,    0
    97,   377,19440123,    4,    0
    97,   377,19440124,   12,    0
    97,   377,19440125,   -8,    0
    97,   377,19440126,  -14,    0
    97,   377,19440127,   -9,    0
    97,   377,19440128,    6,    0
    97,   377,19440129,    6,    0
    97,   377,19440130,   -8,    0
    97,   377,19440131,  -10,    0
    97,   377,19440201,  -30,    0
    97,   377,19440202,  -20,    0
    97,   377,19440203,    7,    0
    97,   377,19440204,   10,    0
    97,   377,19440205,    7,    0
    97,   377,19440206,  -14,    0
    97,   377,19440207,  -65,    0
    97,   377,19440208,  -55,    0
    97,   377,19440209,  -13,    0
    97,   377,19440210,  -24,    0
    97,   377,19440211,    1,    0
    97,   377,19440212,  -22,    0
    97,   377,19440213,  -14,    0
    97,   377,19440214,  -12,    0
    97,   377,19440215,  -46,    0
    97,   377,19440216,  -78,    0
    97,   377,19440217,  -88,    0
    97,   377,19440218,  -99,    0
    97,   377,19440219, -120,    0
    97,   377,19440220, -127,    0
    97,   377,19440221,  -90,    0
    97,   377,19440222,  -72,    0
    97,   377,19440223,  -56,    0
    97,   377,19440224,  -69,    0
    97,   377,19440225,  -66,    0
    97,   377,19440226,  -12,    0
    97,   377,19440227, -119,    0
    97,   377,19440228, -166,    0
    97,   377,19440229,  -28,    0
    97,   377,19440301,   10,    0
    97,   377,19440302,   12,    0
    97,   377,19440303,   -8,    0
    97,   377,19440304,   -5,    0
    97,   377,19440305,  -19,    0
    97,   377,19440306,   17,    0
    97,   377,19440307,  -16,    0
    97,   377,19440308,  -14,    0
    97,   377,19440309,   -8,    0
    97,   377,19440310,  -40,    0
    97,   377,19440311,  -18,    0
    97,   377,19440312,   12,    0
    97,   377,19440313,    6,    0
    97,   377,19440314,   12,    0
    97,   377,19440315,   15,    0
    97,   377,19440316,    5,    0
    97,   377,19440317,  -11,    0
    97,   377,19440318,  -19,    0
    97,   377,19440319,  -24,    0
    97,   377,19440320,  -20,    0
    97,   377,19440321,  -13,    0
    97,   377,19440322,  -33,    0
    97,   377,19440323,  -27,    0
    97,   377,19440324,  -11,    0
    97,   377,19440325,  -10,    0
    97,   377,19440326,  -60,    0
    97,   377,19440327,  -72,    0
    97,   377,19440328,  -67,    0
    97,   377,19440329,  -89,    0
    97,   377,19440330,  -95,    0
    97,   377,19440331,  -72,    0
    97,   377,19440401,  -67,    0
    97,   377,19440402,  -59,    0
    97,   377,19440403,  -51,    0
    97,   377,19440404,  -40,    0
    97,   377,19440405,  -59,    0
    97,   377,19440406,  -53,    0
    97,   377,19440407,  -31,    0
    97,   377,19440408,  -35,    0
    97,   377,19440409,  -16,    0
    97,   377,19440410,  -13,    0
    97,   377,19440411,    1,    0
    97,   377,19440412,  -18,    0
    97,   377,19440413,   12,    0
    97,   377,19440414,   13,    0
    97,   377,19440415,    0,    0
    97,   377,19440416,  -10,    0
    97,   377,19440417,   24,    0
    97,   377,19440418,   56,    0
    97,   377,19440419,   36,    0
    97,   377,19440420,   28,    0
    97,   377,19440421,   36,    0
    97,   377,19440422,   48,    0
    97,   377,19440423,   59,    0
    97,   377,19440424,   56,    0
    97,   377,19440425,   71,    0
    97,   377,19440426,   52,    0
    97,   377,19440427,   40,    0
    97,   377,19440428,   50,    0
    97,   377,19440429,   48,    0
    97,   377,19440430,   26,    0
    97,   377,19440501,   18,    0
    97,   377,19440502,   39,    0
    97,   377,19440503,   74,    0
    97,   377,19440504,   76,    0
    97,   377,19440505,   63,    0
    97,   377,19440506,   73,    0
    97,   377,19440507,   83,    0
    97,   377,19440508,   89,    0
    97,   377,19440509,   72,    0
    97,   377,19440510,   52,    0
    97,   377,19440511,   94,    0
    97,   377,19440512,  134,    0
    97,   377,19440513,-9999,    9
    97,   377,19440514,-9999,    9
    97,   377,19440515,-9999,    9
    97,   377,19440516,-9999,    9
    97,   377,19440517,-9999,    9
    97,   377,19440518,-9999,    9
    97,   377,19440519,-9999,    9
    97,   377,19440520,-9999,    9
    97,   377,19440521,-9999,    9
    97,   377,19440522,-9999,    9
    97,   377,19440523,-9999,    9
    97,   377,19440524,-9999,    9
    97,   377,19440525,-9999,    9
    97,   377,19440526,-9999,    9
    97,   377,19440527,-9999,    9
    97,   377,19440528,-9999,    9
    97,   377,19440529,-9999,    9
