EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SORTAVALA, RUSSIAN FEDERATION (STAID: 98)
Blended and updated with sources:381 922802 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
    98,   381,19450101,  -66,    0
    98,   381,19450102,  -53,    0
    98,   381,19450103,  -19,    0
    98,   381,19450104,  -26,    0
    98,   381,19450105,   10,    0
    98,   381,19450106,  -18,    0
    98,   381,19450107,  -32,    0
    98,   381,19450108,  -39,    0
    98,   381,19450109,  -37,    0
    98,   381,19450110,  -60,    0
    98,   381,19450111,  -56,    0
    98,   381,19450112,  -32,    0
    98,   381,19450113,  -39,    0
    98,   381,19450114,   -6,    0
    98,   381,19450115,  -55,    0
    98,   381,19450116, -172,    0
    98,   381,19450117, -154,    0
    98,   381,19450118,  -61,    0
    98,   381,19450119,  -67,    0
    98,   381,19450120,  -31,    0
    98,   381,19450121,  -72,    0
    98,   381,19450122,  -88,    0
    98,   381,19450123, -104,    0
    98,   381,19450124, -110,    0
    98,   381,19450125, -144,    0
    98,   381,19450126, -188,    0
    98,   381,19450127, -202,    0
    98,   381,19450128, -153,    0
    98,   381,19450129, -138,    0
    98,   381,19450130, -115,    0
    98,   381,19450131, -122,    0
    98,   381,19450201, -176,    0
    98,   381,19450202,  -95,    0
    98,   381,19450203, -141,    0
    98,   381,19450204, -102,    0
    98,   381,19450205, -150,    0
    98,   381,19450206,  -85,    0
    98,   381,19450207,  -65,    0
    98,   381,19450208,  -53,    0
    98,   381,19450209,  -22,    0
    98,   381,19450210,    1,    0
    98,   381,19450211,   -4,    0
    98,   381,19450212,   -5,    0
    98,   381,19450213,  -14,    0
    98,   381,19450214,  -38,    0
    98,   381,19450215,  -62,    0
    98,   381,19450216,  -65,    0
    98,   381,19450217,  -83,    0
    98,   381,19450218, -105,    0
    98,   381,19450219,  -97,    0
    98,   381,19450220,  -56,    0
    98,   381,19450221,  -41,    0
    98,   381,19450222,  -30,    0
    98,   381,19450223,  -51,    0
    98,   381,19450224,  -57,    0
    98,   381,19450225,  -82,    0
    98,   381,19450226,  -46,    0
    98,   381,19450227,  -76,    0
    98,   381,19450228,  -59,    0
    98,   381,19450301, -108,    0
    98,   381,19450302,  -74,    0
    98,   381,19450303, -108,    0
    98,   381,19450304, -142,    0
    98,   381,19450305, -116,    0
    98,   381,19450306, -120,    0
    98,   381,19450307,  -79,    0
    98,   381,19450308, -130,    0
    98,   381,19450309, -189,    0
    98,   381,19450310, -124,    0
    98,   381,19450311, -137,    0
    98,   381,19450312,  -79,    0
    98,   381,19450313,  -16,    0
    98,   381,19450314,   19,    0
    98,   381,19450315,  -35,    0
    98,   381,19450316,  -88,    0
    98,   381,19450317,  -90,    0
    98,   381,19450318, -153,    0
    98,   381,19450319, -113,    0
    98,   381,19450320,  -51,    0
    98,   381,19450321,   -1,    0
    98,   381,19450322,  -22,    0
    98,   381,19450323,  -76,    0
    98,   381,19450324,  -31,    0
    98,   381,19450325,   56,    0
    98,   381,19450326,    6,    0
    98,   381,19450327,  -76,    0
    98,   381,19450328,  -23,    0
    98,   381,19450329,    8,    0
    98,   381,19450330,   10,    0
    98,   381,19450331,  -16,    0
    98,   381,19450401,   24,    0
    98,   381,19450402,   16,    0
    98,   381,19450403,   23,    0
    98,   381,19450404,    8,    0
    98,   381,19450405,    7,    0
    98,   381,19450406,   16,    0
    98,   381,19450407,  -14,    0
    98,   381,19450408,  -46,    0
    98,   381,19450409,   27,    0
    98,   381,19450410,   22,    0
    98,   381,19450411,    2,    0
    98,   381,19450412,    0,    0
    98,   381,19450413,  -14,    0
    98,   381,19450414,   -6,    0
    98,   381,19450415,    2,    0
    98,   381,19450416,  -10,    0
    98,   381,19450417,  -24,    0
    98,   381,19450418,  -34,    0
    98,   381,19450419,  -18,    0
    98,   381,19450420,   -2,    0
    98,   381,19450421,   23,    0
    98,   381,19450422,   35,    0
    98,   381,19450423,   14,    0
    98,   381,19450424,   20,    0
    98,   381,19450425,   22,    0
    98,   381,19450426,   26,    0
    98,   381,19450427,   15,    0
    98,   381,19450428,   38,    0
    98,   381,19450429,   92,    0
    98,   381,19450430,  104,    0
    98,   381,19450501,  118,    0
    98,   381,19450502,   84,    0
    98,   381,19450503,   86,    0
    98,   381,19450504,   83,    0
    98,   381,19450505,   96,    0
    98,   381,19450506,   89,    0
    98,   381,19450507,   61,    0
    98,   381,19450508,   30,    0
    98,   381,19450509,   38,    0
    98,   381,19450510,   44,    0
    98,   381,19450511,   35,    0
    98,   381,19450512,   72,    0
    98,   381,19450513,   83,    0
    98,   381,19450514,   63,    0
    98,   381,19450515,   64,    0
    98,   381,19450516,   70,    0
    98,   381,19450517,   85,    0
    98,   381,19450518,   69,    0
    98,   381,19450519,   61,    0
    98,   381,19450520,   44,    0
    98,   381,19450521,   51,    0
    98,   381,19450522,   50,    0
    98,   381,19450523,   22,    0
    98,   381,19450524,   44,    0
    98,   381,19450525,   45,    0
    98,   381,19450526,   48,    0
    98,   381,19450527,   53,    0
    98,   381,19450528,   81,    0
    98,   381,19450529,   89,    0
    98,   381,19450530,   87,    0
    98,   381,19450531,  124,    0
    98,   381,19450601,  150,    0
    98,   381,19450602,  150,    0
    98,   381,19450603,  123,    0
    98,   381,19450604,  122,    0
    98,   381,19450605,  132,    0
    98,   381,19450606,   84,    0
    98,   381,19450607,   80,    0
    98,   381,19450608,   88,    0
    98,   381,19450609,  142,    0
    98,   381,19450610,  154,    0
    98,   381,19450611,  108,    0
    98,   381,19450612,  136,    0
    98,   381,19450613,  127,    0
    98,   381,19450614,  108,    0
    98,   381,19450615,   94,    0
    98,   381,19450616,   99,    0
    98,   381,19450617,  110,    0
    98,   381,19450618,  109,    0
    98,   381,19450619,  128,    0
    98,   381,19450620,  103,    0
    98,   381,19450621,   96,    0
    98,   381,19450622,   96,    0
