EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SY'KTY'VKAR, RUSSIAN FEDERATION (STAID: 99)
Blended and updated with sources:385 923804 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
    99,   385,18880101,-9999,    9
    99,   385,18880102,-9999,    9
    99,   385,18880103,-9999,    9
    99,   385,18880104,-9999,    9
    99,   385,18880105,-9999,    9
    99,   385,18880106,-9999,    9
    99,   385,18880107,-9999,    9
    99,   385,18880108,-9999,    9
    99,   385,18880109,-9999,    9
    99,   385,18880110,-9999,    9
    99,   385,18880111,-9999,    9
    99,   385,18880112,-9999,    9
    99,   385,18880113,-9999,    9
    99,   385,18880114,-9999,    9
    99,   385,18880115,-9999,    9
    99,   385,18880116,-9999,    9
    99,   385,18880117,-9999,    9
    99,   385,18880118,-9999,    9
    99,   385,18880119,-9999,    9
    99,   385,18880120,-9999,    9
    99,   385,18880121,-9999,    9
    99,   385,18880122,-9999,    9
    99,   385,18880123,-9999,    9
    99,   385,18880124,-9999,    9
    99,   385,18880125,-9999,    9
    99,   385,18880126,-9999,    9
    99,   385,18880127,-9999,    9
    99,   385,18880128,-9999,    9
    99,   385,18880129,-9999,    9
    99,   385,18880130,-9999,    9
    99,   385,18880131,-9999,    9
    99,   385,18880201,-9999,    9
    99,   385,18880202,-9999,    9
    99,   385,18880203,-9999,    9
    99,   385,18880204,-9999,    9
    99,   385,18880205,-9999,    9
    99,   385,18880206,-9999,    9
    99,   385,18880207,-9999,    9
    99,   385,18880208,-9999,    9
    99,   385,18880209,-9999,    9
    99,   385,18880210,-9999,    9
    99,   385,18880211,-9999,    9
    99,   385,18880212,-9999,    9
    99,   385,18880213,-9999,    9
    99,   385,18880214,-9999,    9
    99,   385,18880215,-9999,    9
    99,   385,18880216,-9999,    9
    99,   385,18880217,-9999,    9
    99,   385,18880218,-9999,    9
    99,   385,18880219,-9999,    9
    99,   385,18880220,-9999,    9
    99,   385,18880221,-9999,    9
    99,   385,18880222,-9999,    9
    99,   385,18880223,-9999,    9
    99,   385,18880224,-9999,    9
    99,   385,18880225,-9999,    9
    99,   385,18880226,-9999,    9
    99,   385,18880227,-9999,    9
    99,   385,18880228,-9999,    9
    99,   385,18880229,-9999,    9
    99,   385,18880301,-9999,    9
    99,   385,18880302,-9999,    9
    99,   385,18880303,-9999,    9
    99,   385,18880304,-9999,    9
    99,   385,18880305,-9999,    9
    99,   385,18880306,-9999,    9
    99,   385,18880307,-9999,    9
    99,   385,18880308,-9999,    9
    99,   385,18880309,-9999,    9
    99,   385,18880310,-9999,    9
    99,   385,18880311,-9999,    9
    99,   385,18880312,-9999,    9
    99,   385,18880313,-9999,    9
    99,   385,18880314,-9999,    9
    99,   385,18880315,-9999,    9
    99,   385,18880316,-9999,    9
    99,   385,18880317,-9999,    9
    99,   385,18880318,-9999,    9
    99,   385,18880319,-9999,    9
    99,   385,18880320,-9999,    9
    99,   385,18880321,-9999,    9
    99,   385,18880322,-9999,    9
    99,   385,18880323,-9999,    9
    99,   385,18880324,-9999,    9
    99,   385,18880325,-9999,    9
    99,   385,18880326,-9999,    9
    99,   385,18880327,-9999,    9
    99,   385,18880328,-9999,    9
    99,   385,18880329,-9999,    9
    99,   385,18880330,-9999,    9
    99,   385,18880331,-9999,    9
    99,   385,18880401,-9999,    9
    99,   385,18880402,-9999,    9
    99,   385,18880403,-9999,    9
    99,   385,18880404,   55,    0
    99,   385,18880405,   49,    0
    99,   385,18880406,   62,    0
    99,   385,18880407,   26,    0
    99,   385,18880408,  -24,    0
    99,   385,18880409,    7,    0
    99,   385,18880410,   38,    0
    99,   385,18880411,   59,    0
    99,   385,18880412,  102,    0
    99,   385,18880413,   15,    0
    99,   385,18880414,   -8,    0
    99,   385,18880415,  -58,    0
    99,   385,18880416,  -81,    0
    99,   385,18880417,  -65,    0
    99,   385,18880418,   -1,    0
    99,   385,18880419,   37,    0
    99,   385,18880420,   50,    0
    99,   385,18880421,   37,    0
    99,   385,18880422,    3,    0
    99,   385,18880423,  -80,    0
    99,   385,18880424,  -91,    0
    99,   385,18880425,   -9,    0
    99,   385,18880426,   39,    0
    99,   385,18880427,   -4,    0
    99,   385,18880428,  -12,    0
    99,   385,18880429,   81,    0
    99,   385,18880430,   77,    0
    99,   385,18880501,   94,    0
    99,   385,18880502,   97,    0
    99,   385,18880503,  113,    0
    99,   385,18880504,  117,    0
    99,   385,18880505,  146,    0
    99,   385,18880506,  165,    0
    99,   385,18880507,  181,    0
    99,   385,18880508,  103,    0
    99,   385,18880509,   94,    0
    99,   385,18880510,   82,    0
    99,   385,18880511,   96,    0
    99,   385,18880512,   82,    0
    99,   385,18880513,  104,    0
    99,   385,18880514,   85,    0
    99,   385,18880515,   29,    0
    99,   385,18880516,   52,    0
    99,   385,18880517,  100,    0
    99,   385,18880518,  110,    0
    99,   385,18880519,  101,    0
    99,   385,18880520,   80,    0
    99,   385,18880521,   90,    0
    99,   385,18880522,   95,    0
    99,   385,18880523,   92,    0
    99,   385,18880524,   44,    0
    99,   385,18880525,   86,    0
    99,   385,18880526,   85,    0
    99,   385,18880527,   58,    0
    99,   385,18880528,   75,    0
    99,   385,18880529,   94,    0
    99,   385,18880530,   43,    0
    99,   385,18880531,   70,    0
    99,   385,18880601,  102,    0
    99,   385,18880602,  161,    0
    99,   385,18880603,  197,    0
    99,   385,18880604,  192,    0
    99,   385,18880605,  147,    0
    99,   385,18880606,  173,    0
    99,   385,18880607,  165,    0
    99,   385,18880608,  144,    0
    99,   385,18880609,   65,    0
    99,   385,18880610,  176,    0
    99,   385,18880611,  193,    0
    99,   385,18880612,  169,    0
    99,   385,18880613,  126,    0
    99,   385,18880614,  172,    0
    99,   385,18880615,  180,    0
    99,   385,18880616,  153,    0
    99,   385,18880617,  153,    0
    99,   385,18880618,  175,    0
    99,   385,18880619,  166,    0
    99,   385,18880620,  177,    0
    99,   385,18880621,  186,    0
    99,   385,18880622,  159,    0
    99,   385,18880623,   37,    0
    99,   385,18880624,   74,    0
    99,   385,18880625,  102,    0
    99,   385,18880626,  102,    0
    99,   385,18880627,  117,    0
    99,   385,18880628,  121,    0
    99,   385,18880629,  138,    0
    99,   385,18880630,  135,    0
    99,   385,18880701,  113,    0
    99,   385,18880702,  163,    0
    99,   385,18880703,  229,    0
    99,   385,18880704,  215,    0
    99,   385,18880705,  200,    0
    99,   385,18880706,  244,    0
    99,   385,18880707,  249,    0
    99,   385,18880708,  238,    0
    99,   385,18880709,  206,    0
    99,   385,18880710,  217,    0
    99,   385,18880711,  211,    0
    99,   385,18880712,  158,    0
    99,   385,18880713,  162,    0
    99,   385,18880714,  187,    0
    99,   385,18880715,  173,    0
    99,   385,18880716,  173,    0
    99,   385,18880717,  146,    0
    99,   385,18880718,  140,    0
    99,   385,18880719,  157,    0
    99,   385,18880720,  182,    0
    99,   385,18880721,  164,    0
    99,   385,18880722,   83,    0
    99,   385,18880723,   86,    0
    99,   385,18880724,  132,    0
    99,   385,18880725,  176,    0
    99,   385,18880726,  189,    0
