EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station TAMBOV, RUSSIAN FEDERATION (STAID: 100)
Blended and updated with sources:389 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   100,   389,19360101,  -28,    0
   100,   389,19360102,   -9,    0
   100,   389,19360103,  -38,    0
   100,   389,19360104,  -54,    0
   100,   389,19360105,  -29,    0
   100,   389,19360106,  -33,    0
   100,   389,19360107,  -32,    0
   100,   389,19360108,  -75,    0
   100,   389,19360109,  -89,    0
   100,   389,19360110,  -43,    0
   100,   389,19360111,  -52,    0
   100,   389,19360112,  -35,    0
   100,   389,19360113,   -4,    0
   100,   389,19360114,  -35,    0
   100,   389,19360115,  -42,    0
   100,   389,19360116,  -85,    0
   100,   389,19360117,  -68,    0
   100,   389,19360118,  -74,    0
   100,   389,19360119,  -86,    0
   100,   389,19360120,  -84,    0
   100,   389,19360121,  -35,    0
   100,   389,19360122,  -24,    0
   100,   389,19360123,    4,    0
   100,   389,19360124,    9,    0
   100,   389,19360125,    4,    0
   100,   389,19360126,  -16,    0
   100,   389,19360127,  -56,    0
   100,   389,19360128,  -55,    0
   100,   389,19360129,  -60,    0
   100,   389,19360130, -115,    0
   100,   389,19360131, -225,    0
   100,   389,19360201, -227,    0
   100,   389,19360202, -151,    0
   100,   389,19360203,  -81,    0
   100,   389,19360204,  -59,    0
   100,   389,19360205,  -80,    0
   100,   389,19360206,  -90,    0
   100,   389,19360207, -124,    0
   100,   389,19360208, -124,    0
   100,   389,19360209, -109,    0
   100,   389,19360210,  -48,    0
   100,   389,19360211, -239,    0
   100,   389,19360212, -256,    0
   100,   389,19360213, -165,    0
   100,   389,19360214, -123,    0
   100,   389,19360215, -139,    0
   100,   389,19360216, -200,    0
   100,   389,19360217, -184,    0
   100,   389,19360218, -196,    0
   100,   389,19360219, -230,    0
   100,   389,19360220, -156,    0
   100,   389,19360221, -148,    0
   100,   389,19360222, -109,    0
   100,   389,19360223, -117,    0
   100,   389,19360224, -125,    0
   100,   389,19360225, -131,    0
   100,   389,19360226, -122,    0
   100,   389,19360227, -137,    0
   100,   389,19360228,  -58,    0
   100,   389,19360229,  -28,    0
   100,   389,19360301,  -59,    0
   100,   389,19360302,  -54,    0
   100,   389,19360303,  -57,    0
   100,   389,19360304,  -60,    0
   100,   389,19360305,   -2,    0
   100,   389,19360306,  -48,    0
   100,   389,19360307,  -62,    0
   100,   389,19360308,  -52,    0
   100,   389,19360309,  -36,    0
   100,   389,19360310,  -65,    0
   100,   389,19360311,  -91,    0
   100,   389,19360312,  -32,    0
   100,   389,19360313,  -51,    0
   100,   389,19360314,  -38,    0
   100,   389,19360315,  -24,    0
   100,   389,19360316,  -60,    0
   100,   389,19360317,  -37,    0
   100,   389,19360318,  -45,    0
   100,   389,19360319,  -38,    0
   100,   389,19360320,  -12,    0
   100,   389,19360321,  -52,    0
   100,   389,19360322,  -56,    0
   100,   389,19360323,    2,    0
   100,   389,19360324,  -12,    0
   100,   389,19360325,  -68,    0
   100,   389,19360326,  -76,    0
   100,   389,19360327,  -58,    0
   100,   389,19360328,  -60,    0
   100,   389,19360329,  -80,    0
   100,   389,19360330,  -28,    0
   100,   389,19360331,  -37,    0
   100,   389,19360401,  -38,    0
   100,   389,19360402,  -25,    0
   100,   389,19360403,    4,    0
   100,   389,19360404,   27,    0
   100,   389,19360405,    3,    0
   100,   389,19360406,  -19,    0
   100,   389,19360407,  -23,    0
   100,   389,19360408,   -1,    0
   100,   389,19360409,  -17,    0
   100,   389,19360410,  -27,    0
   100,   389,19360411,  -13,    0
   100,   389,19360412,   14,    0
   100,   389,19360413,   25,    0
   100,   389,19360414,   31,    0
   100,   389,19360415,   26,    0
   100,   389,19360416,   38,    0
   100,   389,19360417,   56,    0
   100,   389,19360418,   50,    0
   100,   389,19360419,   78,    0
   100,   389,19360420,   75,    0
   100,   389,19360421,   70,    0
   100,   389,19360422,   67,    0
   100,   389,19360423,  105,    0
   100,   389,19360424,  116,    0
   100,   389,19360425,  112,    0
   100,   389,19360426,  132,    0
   100,   389,19360427,  154,    0
   100,   389,19360428,  150,    0
   100,   389,19360429,  151,    0
   100,   389,19360430,  128,    0
   100,   389,19360501,  123,    0
   100,   389,19360502,  128,    0
   100,   389,19360503,  146,    0
   100,   389,19360504,  147,    0
   100,   389,19360505,   92,    0
   100,   389,19360506,   80,    0
   100,   389,19360507,   73,    0
   100,   389,19360508,  104,    0
   100,   389,19360509,  126,    0
   100,   389,19360510,  138,    0
   100,   389,19360511,  139,    0
   100,   389,19360512,  136,    0
   100,   389,19360513,  154,    0
   100,   389,19360514,  182,    0
   100,   389,19360515,  112,    0
   100,   389,19360516,   49,    0
   100,   389,19360517,   74,    0
   100,   389,19360518,  104,    0
   100,   389,19360519,  124,    0
   100,   389,19360520,  145,    0
   100,   389,19360521,  148,    0
   100,   389,19360522,  140,    0
   100,   389,19360523,  150,    0
   100,   389,19360524,  195,    0
   100,   389,19360525,  200,    0
   100,   389,19360526,  144,    0
   100,   389,19360527,  175,    0
   100,   389,19360528,  196,    0
   100,   389,19360529,  214,    0
   100,   389,19360530,  200,    0
   100,   389,19360531,  207,    0
   100,   389,19360601,  222,    0
   100,   389,19360602,  258,    0
   100,   389,19360603,  218,    0
   100,   389,19360604,  190,    0
   100,   389,19360605,  174,    0
   100,   389,19360606,  172,    0
   100,   389,19360607,  210,    0
   100,   389,19360608,  198,    0
   100,   389,19360609,  220,    0
   100,   389,19360610,  195,    0
   100,   389,19360611,  205,    0
   100,   389,19360612,  222,    0
   100,   389,19360613,  212,    0
   100,   389,19360614,  216,    0
   100,   389,19360615,  228,    0
   100,   389,19360616,  218,    0
   100,   389,19360617,  212,    0
   100,   389,19360618,  224,    0
   100,   389,19360619,  220,    0
   100,   389,19360620,  229,    0
   100,   389,19360621,  236,    0
   100,   389,19360622,  228,    0
   100,   389,19360623,  192,    0
   100,   389,19360624,  217,    0
   100,   389,19360625,  228,    0
   100,   389,19360626,  239,    0
